NAME,WIDTH,PRICE,POWER,GRASS,AREA,DESCRIPTION
Wolf LBL175,32.0,45000.0,1.0,40.0,450.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion GJG858,44.0,11000.0,1.4,35.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper KVB381,,41000.0,1.6,50.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita NOQ855,34.0,44000.0,0.75,65.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch JDF768,33.0,38000.0,0.85,25.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf HQS956,34.0,14000.0,1.1,60.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita TVM893,35.0,42000.0,1.8,35.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf BFT328,39.0,22000.0,1.85,65.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf BHO371,39.0,10000.0,1.55,50.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez XCR717,36.0,23000.0,1.4,55.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper XOU629,36.0,44000.0,1.55,30.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf DCZ779,31.0,33000.0,1.75,30.0,450.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch TFV888,41.0,9000.0,1.7,30.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch MQQ674,35.0,36000.0,0.85,65.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear MCE862,33.0,38000.0,1.95,55.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion PZC617,43.0,49000.0,1.3,65.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch THQ495,41.0,21000.0,1.1,35.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion QTD915,40.0,10000.0,1.3,75.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez PWH781,39.0,42000.0,,35.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf THU962,40.0,37000.0,1.05,35.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear CFS243,38.0,20000.0,0.8,60.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch EQF322,41.0,25000.0,1.2,30.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez SML275,39.0,11000.0,0.8,40.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx VLY262,43.0,15000.0,1.0,50.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita GZR362,34.0,26000.0,0.8,75.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear YWV799,33.0,32000.0,1.55,55.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear ZQQ787,35.0,31000.0,1.2,40.0,450.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf XPA461,36.0,36000.0,1.2,60.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf DOY226,,15000.0,1.4,30.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf XBK378,42.0,34000.0,1.85,75.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper WQD441,40.0,14000.0,1.25,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper KEV352,33.0,20000.0,0.8,60.0,300.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita XTJ115,31.0,33000.0,1.3,40.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear GRG663,40.0,34000.0,1.9,25.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx OTB557,34.0,36000.0,1.75,25.0,300.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch NNL851,34.0,41000.0,1.7,50.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Cooper HIM117,42.0,30000.0,1.15,65.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx YNL926,41.0,22000.0,1.75,40.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear OCC852,32.0,9000.0,1.0,55.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Gardez GHN845,32.0,30000.0,1.55,25.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita DTS159,30.0,,1.75,35.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx RLP467,41.0,17000.0,1.0,65.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita VUS769,41.0,41000.0,1.05,75.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear ADA514,39.0,31000.0,1.7,55.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita BRS178,40.0,9000.0,0.75,50.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx CIV796,30.0,27000.0,1.6,40.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita CJT518,31.0,11000.0,1.95,30.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Cooper NXX625,38.0,30000.0,1.45,40.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf LDW773,34.0,531531.0,1.1,40.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion AAS439,,22000.0,1.15,55.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx CAN777,38.0,28000.0,1.4,45.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez EYX798,39.0,905214.0,1.5,70.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion UUE214,40.0,25000.0,0.75,60.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez CAE293,42.0,16000.0,1.95,55.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion STN981,36.0,316160.0,1.75,55.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez ZZT934,36.0,23000.0,0.8,60.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch EJT888,40.0,24000.0,1.25,25.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion NYO317,,17000.0,1.7,35.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper PXN669,35.0,21000.0,1.4,35.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion ZJM719,32.0,17000.0,0.85,40.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion EOM221,,8000.0,0.85,50.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear UKV315,39.0,17000.0,1.7,70.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear FTB786,32.0,33000.0,1.25,65.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Gardez IIK724,38.0,15000.0,1.05,50.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez THJ489,38.0,9000.0,1.15,35.0,450.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear EQL233,42.0,39000.0,1.25,25.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx RSZ969,42.0,28000.0,1.85,75.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx ZUH167,35.0,34000.0,0.9,25.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Gardez PTX347,38.0,33000.0,1.7,35.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita PKR925,30.0,29000.0,0.95,75.0,250.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch EVQ457,34.0,30000.0,1.7,35.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch IRL276,43.0,26000.0,1.45,35.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx JIT614,,43000.0,1.35,25.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion OYK233,42.0,43000.0,1.65,25.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion KID541,,31000.0,1.25,50.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion TUG488,43.0,29000.0,1.05,40.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch MUA327,36.0,44000.0,1.15,25.0,,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion HNY424,37.0,29000.0,1.15,65.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx RCR756,41.0,38000.0,1.8,35.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear DCW684,34.0,9000.0,1.45,25.0,450.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch UCR684,38.0,10000.0,1.1,50.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita KJZ751,43.0,21000.0,1.5,45.0,,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch IOQ499,31.0,17000.0,1.0,45.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Cooper JKN946,37.0,32000.0,1.65,55.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx SFG411,38.0,46000.0,1.4,35.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion XTJ469,41.0,,1.35,60.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear QFX663,43.0,18000.0,1.05,60.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez VXP217,39.0,48000.0,0.8,35.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper WOJ285,38.0,33000.0,1.25,75.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear JWG725,39.0,22000.0,0.8,35.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf KOJ343,44.0,26000.0,1.1,65.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear HJB481,43.0,26000.0,0.85,55.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Bear AUJ597,44.0,49000.0,0.9,25.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx OOB237,36.0,191090.0,,35.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper FHB789,31.0,18000.0,1.1,35.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch RAR898,37.0,14000.0,1.5,60.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez FZY456,36.0,39000.0,1.45,35.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx RVP958,30.0,43000.0,,55.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Champion KQD454,,34000.0,0.95,50.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita ZEH826,,24000.0,1.7,25.0,250.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx KUD593,41.0,455119.0,0.9,25.0,300.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion LEX323,39.0,33000.0,1.85,70.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita YQF925,32.0,43000.0,0.75,60.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita ZKF285,44.0,8000.0,1.65,40.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Boch JGS833,,20000.0,1.25,45.0,300.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx WRH558,37.0,20000.0,1.2,35.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita JGX173,38.0,25000.0,1.65,45.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion WPG816,,37000.0,0.8,65.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx MQF331,40.0,11000.0,1.15,,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx KTM552,42.0,21000.0,1.3,75.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion HBR854,38.0,9000.0,1.3,70.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion OFF958,41.0,263504.0,1.3,55.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion JTX151,36.0,18000.0,1.0,35.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Boch TTM973,35.0,10000.0,0.85,50.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf MVR499,40.0,27000.0,1.9,30.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Wolf WOR357,38.0,35000.0,1.15,70.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear KDM732,43.0,9000.0,0.85,50.0,450.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Wolf HHA591,36.0,27000.0,1.5,65.0,250.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear MRJ452,32.0,28000.0,1.6,75.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita HFT662,33.0,42000.0,1.55,40.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Cooper IIY641,,250668.0,1.45,40.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion PHV295,41.0,24000.0,1.8,70.0,550.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez MIX495,39.0,48000.0,1.25,60.0,500.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez FKE582,40.0,,1.7,60.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion WIE744,37.0,16000.0,1.35,35.0,550.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Gardez CJQ385,34.0,21000.0,1.0,40.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Nakita DVR442,38.0,44000.0,1.2,75.0,400.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Worx PMJ516,32.0,44000.0,0.9,45.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Bear NDC659,31.0,10000.0,1.45,25.0,300.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx SXW348,44.0,32000.0,1.4,75.0,500.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx YBX316,44.0,35000.0,1.65,30.0,400.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx VLH486,32.0,32000.0,1.8,55.0,300.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Worx NFO417,39.0,10000.0,1.15,25.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper HNY179,31.0,27000.0,1.1,50.0,400.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Boch PGM414,31.0,31000.0,1.9,70.0,200.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Cooper QAR586,44.0,49000.0,1.1,75.0,200.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion TWV997,,17000.0,,25.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Worx VBG488,42.0,9000.0,0.8,60.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Cooper MRM376,36.0,25000.0,1.0,25.0,350.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Nakita WQK926,32.0,15000.0,0.8,30.0,350.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Wolf IEB415,44.0,33000.0,1.95,45.0,250.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Champion FLT649,31.0,24000.0,1.2,50.0,500.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Gardez HDE613,33.0,35000.0,1.75,75.0,600.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
Gardez MYY592,42.0,22000.0,1.4,40.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez HKO952,39.0,46000.0,1.5,50.0,600.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Bear YIA959,36.0,28000.0,1.1,25.0,200.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Champion OQT836,44.0,35000.0,1.05,50.0,600.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Gardez VGA217,38.0,43000.0,0.8,40.0,300.0,Средняя ширина скашиваемой полосы на данной газонокосилке позволяет быстро и легко поддерживать средний размер газона.
Cooper GVV936,42.0,20000.0,1.85,40.0,350.0,Широкая полоса скашивания на данной газонокосилке позволяет быстро и легко обрезать траву на больших площадях.
Nakita RXF948,34.0,17000.0,1.15,40.0,550.0,"Новая газонокосилка имеет узкую ширину скашиваемой полосы, что делает ее идеальной для маленьких участков."
